Id, StartDay, StartTime, EndDay, EndTime, TotalTime(s), TotalCapSize, Caplen (bytes), AvgRate, PeakRate
201102130655, Sun, 06:55:09, Sun, 07:55:09, 3600.00, 57.61MB, 1514, 136.45Kbps, 1.22Mbps
201102130755, Sun, 07:55:09, Sun, 08:55:09, 3600.10, 107.41MB, 1514, 250.60Kbps, 1.64Mbps
201102130855, Sun, 08:55:09, Sun, 09:55:09, 3599.99, 174.84MB, 1514, 407.43Kbps, 1.67Mbps
201102130955, Sun, 09:55:09, Sun, 10:55:09, 3600.02, 85.86MB, 1514, 200.11Kbps, 1.11Mbps
201102131055, Sun, 10:55:09, Sun, 11:55:09, 3600.02, 190.99MB, 1514, 445.03Kbps, 1.86Mbps
201102131155, Sun, 11:55:09, Sun, 12:55:07, 3598.75, 84.15MB, 1514, 202.55Kbps, 1.45Mbps
201102131255, Sun, 12:55:09, Sun, 13:55:09, 3599.75, 114.18MB, 1514, 267.77Kbps, 1.69Mbps
201102131355, Sun, 13:55:09, Sun, 14:55:09, 3600.00, 68.95MB, 1514, 161.25Kbps, 1.78Mbps
201102131455, Sun, 14:55:09, Sun, 15:55:09, 3600.00, 94.55MB, 1514, 225.47Kbps, 1.77Mbps
201102131555, Sun, 15:55:09, Sun, 16:55:09, 3599.99, 40.57MB, 1514, 94.42Kbps, 1.73Mbps
201102131655, Sun, 16:55:09, Sun, 17:55:08, 3599.83, 47.77MB, 1514, 112.04Kbps, 1.59Mbps
201102131755, Sun, 17:55:09, Sun, 18:55:08, 3599.84, 136.46MB, 1514, 318.30Kbps, 1.66Mbps
201102131855, Sun, 18:55:09, Sun, 19:55:08, 3599.68, 173.87MB, 1514, 405.55Kbps, 2.07Mbps
201102131955, Sun, 19:55:09, Sun, 20:55:09, 3599.94, 89.25MB, 1514, 211.13Kbps, 1.46Mbps
201102132055, Sun, 20:55:09, Sun, 21:55:09, 3599.96, 206.42MB, 1514, 481.07Kbps, 1.88Mbps
201102132155, Sun, 21:55:09, Sun, 22:55:09, 3600.00, 173.68MB, 1514, 404.68Kbps, 2.21Mbps
201102132255, Sun, 22:55:09, Sun, 23:55:09, 3599.98, 177.37MB, 1514, 413.38Kbps, 2.07Mbps
201102132355, Sun, 23:55:09, Mon, 00:55:08, 3599.96, 23.47MB, 1514, 59.00Kbps, 873.75Kbps
201102082110, Tue, 21:10:03, Tue, 21:26:54, 1011.34, 0.15MB, 1514, 2.57Kbps, 38.47Kbps
